ID,Category,Expected Severity,Description,Should Find Bug,Expected Keywords,Diff
sec-001,security,critical,SQL injection via string concatenation,true,injection; SQL; parameterized,"### api/users.py
```diff
@@ -12,2 +12,3 @@
     conn = db.connect()
+    result = conn.execute(""SELECT * FROM users WHERE id = "" + user_id)
     return result
```"
sec-002,security,critical,Hardcoded API secret in source code,true,hardcoded; secret; environment,"### config/settings.py
```diff
@@ -5,2 +5,3 @@
     DEBUG = False
+    STRIPE_SECRET_KEY = ""sk_live_FAKE_KEY_FOR_TESTING_ONLY""
```"
sec-003,security,critical,XSS vulnerability via innerHTML,true,XSS; innerHTML; sanitize,"### components/Comment.tsx
```diff
@@ -8,2 +8,3 @@
   return (
+    <div dangerouslySetInnerHTML={{ __html: body }} />
   );
```"
sec-004,security,critical,Missing auth check on admin endpoint,true,auth; unauthorized; middleware,"### routes/admin.js
```diff
@@ -1,5 +1,8 @@
 const router = express.Router();
+router.delete('/users/:id', async (req, res) => {
+  await User.findByIdAndDelete(req.params.id);
+  res.json({ deleted: true });
+});
```"
sec-005,security,critical,Storing password in plain text,true,plain; hash; bcrypt; password,"### models/user.py
```diff
@@ -15,2 +15,3 @@
     def set_password(self, password):
-        self.password_hash = bcrypt.hash(password)
+        self.password = password
```"
sec-006,security,critical,Eval of user-controlled input,true,eval; injection; arbitrary,"### utils/calculator.py
```diff
@@ -3,2 +3,3 @@
+    result = eval(expression)
     return result
```"
sec-007,security,critical,Path traversal in file download,true,traversal; path; sanitize,"### routes/files.js
```diff
@@ -4,3 +4,5 @@
+  const filename = req.query.file;
+  res.sendFile('/uploads/' + filename);
```"
sec-008,security,major,JWT token with no expiration,true,expir; JWT; token,"### auth/token.js
```diff
@@ -5,3 +5,4 @@
+  return jwt.sign({ userId: user.id, role: user.role }, SECRET_KEY);
```"
sec-009,security,critical,CORS allowing all origins with credentials,true,CORS; origin; wildcard,"### server.js
```diff
@@ -8,2 +8,5 @@
+app.use(cors({
+  origin: '*',
+  credentials: true
+}));
```"
sec-010,security,critical,Deserializing untrusted YAML,true,yaml; unsafe; safe_load,"### config/loader.py
```diff
@@ -6,2 +6,3 @@
+    config = yaml.load(raw_input)
+    return config
```"
sec-011,security,major,Logging sensitive user data,true,log; sensitive; password,"### services/auth.py
```diff
@@ -10,2 +10,3 @@
     user = find_user(username)
+    logger.info(f""Login attempt: user={username}, password={password}"")
```"
sec-012,security,major,Weak hash algorithm MD5,true,MD5; weak; SHA,"### utils/hash.py
```diff
@@ -3,2 +3,3 @@
+    return hashlib.md5(token.encode()).hexdigest()
```"
